title,artist_name,writers,producer,release_yr,released,streak,acousticness,danceability,energy,instrumentalness
For What It's Worth,Henri Salvador, Stephen Stills," Charles Greene, Brian Stone",1967," Feb. '67, Atco","15 weeks, No. 7",0.983,0.341,0.156,0.0418
Sunshine of Your Love,Chorus,"Jack Bruce, Pete Brown, Eric Clapton", Felix Pappalardi,1968,"Jan. '68, Atco",26 weeks; No. 5 ,0.71,0.582,0.679,0.0286
Redemption Song,Karine Costa, Marley, Chris Blackwell,1980,"June '80, Island",Did not chart,0.0575,0.59,0.847,0
Jailhouse Rock,Henri Salvador,"Jerry Leiber, Mike Stoller", Steve Sholes,1957," Oct. '57, RCA ","27 weeks, No. 1",0.667,0.602,0.702,1.66E-05
Tangled Up in Blue,Chorus, Dylan, Dylan,1975,"Jan. '75, Columbia","7 weeks, No. 31",0.791,0.447,0.253,0
Crying,Doroth̩e,"Joe Melson, Orbison", Fred Foster,1961," Aug. '61, Monument",16 weeks; No. 2,0.334,0.84,0.557,0
Walk On By,Chorus," Burt Bacharach, Hal David"," Bacharach, David",1964," April '64, Scepter","13 weeks, No. 6",0.933,0.676,0.697,0.0117
Papa's Got A Brand New Bag,Fabien Nataf, Brown, Brown,1966,"July '66, King",13 weeks; No. 8,0.48,0.914,0.224,2.44E-05
California Girls,Pascal Laffarge," Brian Wilson, Mike Love", Wilson,1965,"July '65, Capitol",11 weeks; No. 3,0.615,0.394,0.384,0.0106
Superstition,Frank Churchill, Wonder," Wonder, Malcolm Cecil, Robert Margouleff",1972," Nov. '72, Tamla",16 weeks; No. 1,0.979,0.238,0.151,0.000184
Summertime Blues,Chorus," Cochran,Jerry Capehart", Capehart,1958,"July '58, Liberty",16 weeks; No. 8,0.939,0.582,0.174,8.63E-05
Whole Lotta Love,Jean Claude Corbel," Willie Dixon, Led Zeppelin",Jimmy Page,1969," Oct. '69, Atlantic",15 weeks; No. 4,0.695,0.71,0.231,0
Strawberry Fields Forever,Jean Claude Corbel,"John Lennon, Paul McCartney", George Martin,1967," Feb. '67, Capitol",9 weeks; No. 8,0.756,0.564,0.275,0
Mystery Train,Dominique Tirmont,"Junior Parker, Sam Phillips",Sam Phillips,1955," Sept. '55, Sun",Did not chart,0.91,0.388,0.448,0
I Got You (I Feel Good),Henri Salvador, Brown, Brown,1965," Nov. '65, King",12 weeks; No. 3,0.776,0.363,0.153,9.00E-06
Mr. Tambourine Man,Jean Claude Corbel, Bob Dylan, Terry Melcher,1965," May '65, Columbia",13 weeks; No. 1,0.715,0.569,0.345,0
You Really Got Me,Jean Claude Corbel, Ray Davies, Shel Talmy,1964," Sept. '64, Reprise ",15 weeks; No. 7,0.778,0.61,0.266,0
I Heard It Through the Grapevine,Chorus," Barrett Strong, Norman Whitfield", Whitfield,1968," Oct. '68, Tamla ",15 weeks; No. 1,0.398,0.633,0.605,0.000169
Blueberry Hill,Chorus," Al Lewis, Larry Stock, Vincent Rose", Dave Bartholomew,1956," Oct. '56, Imperial ",27 weeks; No. 2,0.761,0.672,0.651,0.00445
Every Breath You Take,Leopold Stokowski, Sting, Hugh Padgham,1983," May '83, A&M",22 weeks; No 1,0.962,0.168,0.185,0.855
Crazy,Dominique Tirmont, Willie Nelson, Owen Bradley,1961," Oct. '61, Decca",11 weeks; No. 9,0.611,0.702,0.509,0
Thunder Road,Debbie Davis, Springsteen," Springsteen,Jon Landau, Mike Appel",1975," Aug. '75, Columbia",Non-single,0.525,0.6,0.658,4.81E-05
Ring of Fire,Chorus,"June Carter, Merle Kilgore", Don Law,1963," May '63, Columbia",13 weeks; No. 17,0.876,0.468,0.642,0.000381
My Girl,Chorus," Smokey Robinson, Ronald White"," Robinson, White",1965,"Jan. '65, Gordy",13 weeks; No. 1,0.847,0.494,0.444,0
California Dreamin,Bernard Minet,John and Michelle Phillips, Lou Adler,1965," Dec. '65, Dunhill",17 weeks; No. 4,0.66,0.657,0.626,6.03E-06
In the Still of the Night,Chorus, Fred Parris, The Five Satins,1956," Sept. '56, Standord",19 weeks; No. 24,0.366,0.694,0.376,0
Suspicious Minds,Chorus, Mark James," Chips Moman, Felton Jarvis, Presley",1969," Sept. '69, RCA",15 weeks; No. 1,0.357,0.61,0.833,3.55E-05
I Still Haven't Found What I'm Looking For,Martin & les f̩es, Bono," Daniel Lanois, Brian Eno",1987," May '87, Island",17 weeks; No. 1,0.345,0.505,0.522,0
"Good Golly, Miss Molly",Henri Salvador," Robert ""Bumps"" Blackwell,John Marascalco","Robert ""Bumps"" Blackwell",1958," Feb. '58, Specialty",15 weeks; No. 10,0.79,0.701,0.347,3.16E-06
Blue Suede Shoes,Henri Salvador, Perkins, Sam Phillips,1956," Feb '56, Sun",21 weeks; No. 2,0.0367,0.441,0.643,0
Great Balls of Fire,Claire Guyot," Otis Blackwell,Jack Hammer", Sam Phillips,1957," Nov. '57, Sun",21 weeks; No. 2,0.744,0.193,0.477,7.44E-05
Roll Over Beethoven,Chorus, Berry," Leonard Chess, Phil Chess",1956," May '56, Chess",5 weeks; No. 29,0.84,0.688,0.331,0
Fortunate Son,Richard M. Sherman,John Fogerty, Fogerty,1969," Oct. '69, Fantasy",14 weeks; No. 14,0.987,0.429,0.0478,0.959
Crazy,Dominique Tirmont, Willie Nelson, Owen Bradley,1961," Oct. '61, Decca",11 weeks; No. 9,0.611,0.702,0.509,0
You Can't Always Get What You Want,Chorus,"Mick Jagger, Keith Richards",Jimmy Miller,1969,"July '69, London",8 weeks; No. 42,0.636,0.615,0.846,7.55E-05
Voodoo Child (Slight Return),Henri Salvador,Jimi Hendrix, Chas Chandler,1968," Oct. '68, Reprise",Non-single,0.951,0.805,0.156,0
Be-Bop-A-Lula,Choeurs," Vincent, Bill Davis", Ken Nelson,1956," May '56, Capitol",20 weeks; No. 7,0.974,0.39,0.196,8.05E-06
Hot Stuff,Chorus," Pete Bellotte, Harold Faltermeyer, Keith Forsey"," Giorgio Moroder, Bellotte",1979," April '79, Casablanca",21 weeks; No. 1,0.523,0.627,0.422,0
Living for the City,Chorus, Wonder, Wonder,1973," August '73, Tamla",17 weeks; No. 8,0.506,0.653,0.45,0
The Boxer,Henri Salvador, Paul Simon," Roy Halee, Simon, Art Garfunkel",1969," April '69, Columbia",10 weeks; No. 7,0.726,0.478,0.461,2.95E-06
Mr. Tambourine Man,Jean Claude Corbel, Bob Dylan, Terry Melcher,1965," May '65, Columbia",13 weeks; No. 1,0.715,0.569,0.345,0
Little Red Corvette,Leopold Stokowski,Prince,Prince,1983," March '83, Warner",22 weeks; No. 6,0.678,0.333,0.384,0.861
Brown Eyed Girl,Debbie Davis, Morrison, Bert Berns,1967,"June '67, Bang",16 weeks; No. 10,0.9,0.471,0.498,0.0327
I've Been Loving You too Long (to Stop Now),Chorus,"Jerry Butler, Redding","Jim Stewart, Steve Cropper",1965," April '65, Volt",11 weeks; No. 21,0.0488,0.598,0.704,0.229
I'm So Lonesome I Could Cry,Les H̩rissons, Williams, Fred Rose,1949," Nov. '49, Sterling",Did not chart,0.639,0.632,0.86,6.55E-06
That's All Right,Henri Salvador, Arthur Crudup, Sam Phillips,1954," Aug. '54, Sun",Did not chart,0.619,0.242,0.312,1.40E-06
Up on the Roof,Chorus," Gerry Goffin, Carole King","Jerry Leiber, Mike Stoller",1962," Nov. '62, Atlantic",20 weeks; No. 5,0.474,0.524,0.182,0.139
You Send Me,Michel Roux, Cooke," Richard ""Bumps"" Blackwell",1957," Oct. '57, Keen",26 weeks; No. 1 ,0.529,0.643,0.415,0
Honky Tonk Women,Debbie Davis,"Mick Jagger, Keith Richards",Jimmy Miller,1969,"July '69, London",15 weeks; No. 1,0.605,0.641,0.49,0
Take Me to the River,Chorus," Green, Mabon Hodges", Willie Mitchell,1974," Nov. '74, Hi",Non-single,0.228,0.684,0.746,0
Crazy in Love,Randy Newman," Rich Harrison, Beyonce,Jay-Z"," Harrison, Beyonce",2003," May '03, Columbia",27 weeks; No. 1,0.604,0.108,0.196,0.327
Go Your Own Way,Jean Claude Corbel, Lindsey Buckingham," Fleetwood Mac, Richard Dashut, Ken Caillat",1977,"Jan. '77, Warner Bros.",15 weeks; No. 10,0.738,0.571,0.204,0
I Want You Back,Jean Claude Corbel," Freddie Perren, Fonce Mizell, Deke Richards, Berry GordyJr."," Perren, Mizell, Richards, Gordy",1969," Nov. '69, Motown",19 weeks; No. 1,0.743,0.559,0.286,0
Stand By Me,Martin & les f̩es," King, Elmo Glick,Jerry Leiber, Mike Stoller"," Leiber, Stoller",1961," April '61, Atco",14 weeks; No. 4,0.237,0.662,0.195,0
The House of the Rising Sun,Bernard Minet, Alan Price, Mickie Most,1964,"July '64, MGM",11 weeks; No. 1,0.629,0.659,0.495,0
Jumpin'Jack Flash,Jean Claude Corbel,"Mick Jagger, Keith Richards",Jimmy Miller,1968," May '68, London",12 weeks; No. 3,0.63,0.539,0.462,0
Will You Love Me Tomorrow,Larry Morey," Gerry Goffin, Carole King", Luther Dixon,1960," Nov. '60, Scepter",19 weeks; No. 1,0.713,0.823,0.633,0.000512
Changes,Houcine, Bowie, Ken Scott,1971," Dec. '71, RCA",11 Weeks; No. 41,0.00759,0.794,0.554,0.000614
Born to Be Wild,Chorus, Mars Bonfire, Gabriel Mekler,1968,"Jan. '68, Dunhill ",13 Weeks; No. 2  ,0.78,0.606,0.389,0
Maggie May,Randy Newman," Stewart, Martin Quittenton", Stewart,1971,"June '71, Mercury",17 weeks; No. 1,0.989,0.375,0.107,0.785
With or Without You,Lucie Dolene," Bono, the Edge, Adam Clayton, Larry MullenJr."," Brian Eno, Daniel Lanois ",1987," March '87, Island",18 weeks; No. 1,0.89,0.441,0.214,8.59E-06
Who Do You Love?,Randy Newman, Ellas McDaniel," Phil Chess, Leonard Chess",1957," March '57, Checker",Did not chart,0.979,0.211,0.041,0.926
In the Midnight Hour,China Moses," Pickett, Steve Cropper","Jerry Wexler,Jim Stewart",1965,"July '65, Atlantic",12 weeks; No. 21,0.566,0.522,0.392,5.03E-06
While My Guitar Gently Weeps,Mary J. Blige, George Harrison, George Martin,1968," Nov. '68, Apple",Non-single ,0.083,0.724,0.689,0
Your Song,Rihanna," Bernie Taupin,John", Gus Dudgeon,1970," Nov. '70, Uni",14 weeks; No. 8 ,0.323,0.685,0.61,0
Eleanor Rigby,Yung Bleu,"John Lennon, Paul McCartney", George Martin,1966," Aug. '66, Capitol",8 weeks; No. 11 ,0.0675,0.762,0.52,3.95E-06
Family Affair,Surfaces, Sly Stone, Stone,1971," Oct. '71, Epic",14 weeks; No. 1,0.36,0.563,0.366,0.00243
I Saw Her Standing There,Olivia O'Brien,"John Lennon, Paul McCartney", George Martin,1964,"Jan. '64, Capitol",11 weeks; No. 14,0.596,0.653,0.621,0
Kashmir,ELHAE,"John Bonham,Jimmy Page, Robert Plant", Page,1975," March '75, Swan Song",Non-single,0.661,0.51,0.331,0
All I Have to Do Is Dream,Nao," Boudleaux Bryant, Felice Bryant", Archie Bleyer,1958," May '58, Cadence",11 weeks; No. 21,0.667,0.67,0.649,0.00013
"Please, Please, Please",Frank Ocean," Brown,Johnny Terry", Ralph Bass,1956," Feb. '56, Federal",2 weeks; No. 95,0.975,0.377,0.255,0.000208
Purple Rain,Layton Greene,Prince,Prince,1984,"June '84, Warner Bros.",16 weeks; No. 2,0.72,0.523,0.507,0
I Wanna Be Sedated,Usher, Ramones," Tommy Erdelyi, Ed Stasium",1978," Oct. '78, Sire",Did not chart,0.0359,0.761,0.639,0
Everyday People,Mariah Carey, Sly Stone, Stone,1968," Nov. '68, Epic",19 weeks; No. 1,0.735,0.501,0.378,0
Rock Lobster,Beyonc̩," Fred Schneider, Ricky Wilson", Chris Blackwell,1979,"July '79, Warner Bros.",8 weeks; No. 56,0.241,0.639,0.659,8.33E-06
Me and Bobby McGee,Jason Derulo," Kris Kristofferson, Fred Foster", Paul Rothchild,1971,"Jan. '71, Columbia",15 weeks; No. 1,0.0233,0.845,0.709,0
Lust for Life,TWENTY88," David Bowie, Pop", Bowie,1977," Sept. '77, RCA",Did not chart,0.0808,0.584,0.687,0
Eight Miles High,Christina Aguilera," Gene Clark, Roger McGuinn, David Crosby", Allen Stanton,1966," April '66, Columbia",9 weeks; No. 14,0.0174,0.751,0.766,8.07E-06
Earth Angel,Tierra Whack,"Jesse Belvin, Curtis Williams", Dootsie Williams,1954," Dec. '54, Dootone",15 weeks; No. 8,0.184,0.791,0.494,0.0182
Foxey Lady,Jessie Reyez, Hendrix, Chas Chandler,1965," Aug. '65, Reprise",4 weeks; No. 67,0.458,0.703,0.586,0
A Hard Day's Night,6LACK,"John Lennon, Paul McCartney", George Martin,1964,"July '64, Capitol",13 weeks; No. 1,0.576,0.457,0.337,9.27E-06
Rave On,SZA," Sonny West, Bill Tilghman, Norman Petty", Petty,1958," April '58, Coral",10 weeks; No. 37,0.775,0.759,0.342,0
Proud Mary,Kyle Dion,John Fogerty, Fogerty,1969,"Jan. '69, Fantasy",14 weeks; No. 2,0.0759,0.546,0.698,0.000131
The Sounds of Silence,Roy Woods, Paul Simon, Tom Wilson,1965," Nov. '65, Columbia ",14 weeks; No. 1,0.0306,0.69,0.502,0
I Only Have Eyes for You,Tove Lo, Harry Warren, George Goldner,1959," April '59, End",13 weeks; No. 11,0.0703,0.733,0.65,6.59E-05
Moment of Surrender,Joji," Bono, the Edge, Adam Clayton, Larry MullenJr."," Brian Eno, Daniel Lanois",2009," March '09, Interscope",Non-single,0.00616,0.752,0.883,0.0998
I'm Waiting for the Man,Jennifer Lopez, Lou Reed," Andy Warhol, Tom Wilson",1967," March '67, Verve",Non-single,0.41,0.721,0.881,7.61E-06
Bring the Noise,Rihanna," Carlton Ridenhour, Eric Sadler, Hank Shocklee"," Rick Rubin, Carl Ryder",1988," April '88, DefJam",Did not chart,0.323,0.637,0.73,0
Folsom Prison Blues,Miguel, Cash, Sam Phillips,1956,"Jan. '56, Sun",18 weeks; No. 32,0.426,0.612,0.548,0
I Can't Stop Loving You,TLC, Don Gibson, Sid Feller,1962," May '62, ABC-Paramount",18 weeks; No. 1,0.0193,0.811,0.458,1.41E-06
Nothing Compares 2 U,PARTYNEXTDOOR,Prince," O'Connor, Nellee Hooper",1990," March '90, Ensign",21 weeks; No. 1,0.0727,0.344,0.537,0.000127
Bohemian Rhapsody,MIKExANGEL, Freddie Mercury, Roy Thomas Baker,1975," Nov. '75, Elektra",24 weeks; No. 9,0.107,0.577,0.516,0
Fast Car,Nick Jonas, Chapman, David Kershenbaum,1988," April '88, Elektra",21 weeks; No. 6,0.46,0.513,0.496,0
Let's Get It On,Tory Lanez," Gaye, Ed Townsend"," Gaye, Townsend",1973,"June '73, Tamla",14 weeks; No. 1,0.244,0.621,0.777,0
Losing My Religion,Alina Baraz," Berry, Buck, Mills, Stipe"," Scott Lift, R.E.M.",1991," March '91, Warner Bros.",21 weeks; No. 4,0.401,0.684,0.512,0
Both Sides Now,Dreezy, Mitchell, Mitchell,1969," May '69, Reprise",Did not chart,0.552,0.735,0.567,0
Dream On,PJ Morton, Steven Tyler, Arian Barber,1973,"June '73, Columbia",9 weeks; No. 59,0.591,0.502,0.409,0
Dancing Queen,Tom Misch," Benny Andersson, Bj_rn Ulvaeus, Stig Anderson"," Andersson, Ulvaeus",1976," Nov. '76, Atlantic",22 weeks; No. 1,0.391,0.785,0.379,0.0161
God Save the Queen,Usher,"Johnny Rotten, SteveJones, Glen Matlock, Paul Cook", Chris Thomas,1977," May '77, Warner Bros.",Did not chart ,0.198,0.781,0.745,1.14E-05
Paint it Black,Jeremih,"Mick Jagger, Keith Richards", Andrew Loog Oldham,1966," May '66, London",11 weeks; No. 1,0.53,0.679,0.44,5.15E-06
I Fought the Law,Dijon," Sonny Curtis, Fuller", Bob Keane,1966," Feb. '66, Mustang",11 weeks; No. 9,0.512,0.674,0.616,2.10E-06
Don't Worry Baby,Yuna," Brian Wilson, Roger Christian", Wilson,1964," May '64, Capitol",10 weeks; No. 24,0.366,0.678,0.414,3.78E-06
Free Fallin,Keri Hilson," Petty,Jeff Lynne", Lynne,1989,"June '89, MCA",21 weeks; No. 7,0.203,0.666,0.87,0
Love Will Tear Us Apart,The Japanese House," Ian Curtis, Peter Hook, Stephen Morris, Bernard Sumner", Martin Hannett,1980," April '80, Enigma",Did not chart,0.0729,0.605,0.446,0
Hey Ya!,T-Pain, Andr_ 3000,Andre 3000,2003," Sept. '03, LaFace",32 weeks; No. 1,0.0761,0.738,0.519,0
Green Onions,Tory Lanez," Booker T.Jones, Steve Cropper, Lewis Steinberg, Al Jackson",Jim Stewart,1962," Oct. '62, Stax",16 weeks; No. 3,0.305,0.539,0.886,0
Save the Last Dance for Me,The Weeknd," Doc Pomus, Mort Shuman","Jerry Leiber, Mike Stoller",1960," Sept. '60, Atlantic",18 weeks; No. 1,0.682,0.671,0.428,0.0002
The Thrill is Gone,H.E.R.," Roy Hawkins, Rick Darnell", Bill Szymczyk,1969," Dec. '69, BluesWay",14 weeks; No. 15,0.313,0.794,0.448,0.0184
Desolation Row,City Girls, Dylan,Bob Johnston,1965," Aug. '65, Columbia",Non-single,0.0101,0.595,0.695,0
Who'll Stop the Rain,Brent Faiyaz,John Fogerty, Fogerty,1970,"Jan. '70, Fantasy",Did not chart,0.575,0.385,0.473,2.88E-05
I Never Loved a Man (the Way I Love You),Jacquees, Ronny Shannon,Jerry Wexler,1967," March '67, Atlantic",11 weeks; No. 9,0.0163,0.71,0.578,0
Back in Black,JP Saxe," Angus Young, Malcolm Young, Brian Johnson", Mutt Lange,1980,"July '80, Atlantic",15 weeks; No. 37,0.64,0.536,0.426,5.88E-06
Stayin' Alive,Chingy," Robin Gibb, Barry Gibb, Maurice Gibb"," Barry Gibb, Robin Gibb, Maurice Gibb, Karl Richardson, Albhy Galuten",1977," Nov. '77, RSO",27 weeks; No. 1,0.15,0.866,0.749,0
Knockin' on Heaven's Door,H.E.R., Dylan, Gordon Carroll,1973,"July '73, Columbia",16 weeks; No. 12,0.865,0.535,0.395,1.78E-05
Free Bird,Wale," Allen Collins, Ronnie Van Zant", Al Kooper,1973," Sept. '73, MCA",12 weeks; No. 19,0.611,0.512,0.598,0
Rehab,Kiana Led̩, Winehouse, Mark Ronson,2007," March '07, Universal Republic",20 weeks; No. 9,0.447,0.789,0.435,0
Wichita Lineman,Iggy Azalea,Jimmy Webb, Al De Lory,1968," Nov. '68, Capitol",15 weeks; No. 3,0.181,0.741,0.726,0.000189
